,,,,,
,Hub71,أبوظبي، الإمارات,"Al Khatem Tower, 9th/15th Floor, ADGM Square, Al Maryah Island، أبوظبي cbinsights+2",https://hub71.com,
,DFDF (Dubai Future District Fund),دبي، الإمارات,"Gate Precinct Building 3, Suite 501A, DIFC، ص.ب 506627، دبي pitchbook+2",https://dfdf.vc,
,الشركة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني,
,Flat6Labs Saudi,الرياض، السعودية,الرياض، السعودية (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة) flat6labs,https://flat6labs.com,
,Impact46,الرياض، السعودية,"Laysen Valley, Building #23, 3rd Floor, King Khaled Road، الرياض 12329 privateequityinternational+2",https://impact46.co,
,STV,الرياض، السعودية,الرياض، السعودية (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة) privateequityinternational,https://stv.vc,
,RVC (Riyadh Valley Company),الرياض، السعودية,"Innovation Tower, Riyadh Techno Valley, King Saud University، الرياض 11613 / Ibn Roushed Ave, King Saud University، الرياض 12373 linkedin+2",https://rvc.com.sa,
,Dubai Future Foundation,دبي، الإمارات,"5th Floor, Emirates Towers, Sheikh Zayed Road، دبي / Sheikh Zayed Road, Zabeel، دبي dubaifuture+2",https://www.dubaifuture.ae,
,Flat6Labs Cairo,الجيزة، مصر,"1 Dr. Mohamed Sobhy Street, Flat 5، الجيزة zawya+2",https://flat6labs.com,
,Sawari Ventures,القاهرة، مصر,"1 Dr. Mohamed Sobhy Street, Giza، الجيزة / One Drive Mohamed Sobhy, 4th Floor، القاهرة",https://www.sawari.com,
,Algebra Ventures,القاهرة، مصر,القاهرة، مصر (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة),https://algebraventures.com,
,DisrupTech,القاهرة، مصر,"Capital Business Park, B3, 4th Floor, Sheikh Zayed، الجيزة / المقر: القاهرة",https://disruptechfund.com,
,Cairo Angels,القاهرة، مصر,"28 Falaki Street, Bab El Louk, Office 204, Falaki Building، القاهرة 11513 eina4jobs+2",https://cairoangels.com,
,Nclude VC,القاهرة، مصر,"Villa M by Marakez, Omar Al Khayam Street, Zamalek، القاهرة cbinsights+2",https://nclude.vc,
,UI Investments,القاهرة، مصر,"334 Signature Building, 5th Floor, Sharik Hub, South 90th Street, New Cairo، القاهرة / Platz Business Park, 5th Settlement، القاهرة cbinsights+2",https://ui-investments.com,
,Endure Capital,القاهرة / بالو ألتو، الولايات المتحدة,"Cairo: District5 - Marakez, Ain El Sokhna Rd, New Cairo 3، القاهرة 11865 / Palo Alto: Hamilton Ave, Palo Alto, CA 94301، USA / Dubai: Business Center 1, M Floor, The Meydan Hotel، دبي endurecap+2",https://endurecap.com,
,الشركة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني,
,AfricInvest,تونس، تونس,"Immeuble Integra, Centre Urbain Nord، تونس 1082 / North Urban Center، تونس 1082 cbinsights+2",https://www.africinvest.com,
,Mediterrania Capital Partners,تونس / المنطقة (مقر رئيسي: مالطا),المقر الرئيسي: Ta Xbiex، مالطا / مكاتب في: تونس، الدار البيضاء، الجزائر، أبيدجان، برشلونة، موريشيوس teaserclub+2,https://www.mcapitalp.com,
,الشركة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني,
,Ithmar Capital,الرباط، المغرب,"N° 50 Rocade Sud, Rabat – Casablanca, Immeubles D, Zénith Rabat Souissi، الرباط 10100 ifswf+2",https://www.ithmar.gov.ma,
,212Founders,الدار البيضاء، المغرب,"6ème étage, 60 Main Street, CFC، الدار البيضاء 20250 / 179 Angle des Boulevards de Londres et de la Résistance، الدار البيضاء 20250 linkedin+2",https://212founders.co,
,CDG Invest,الرباط، المغرب,"Mahaj Ryad Center, Immeuble Business 7, 3ème Etage, Hay Riad، الرباط 10100 linkedin+2",https://www.cdg-invest.ma,
,Azur Innovation Fund,الدار البيضاء، المغرب,"117, Avenue Hassan II, Immeuble Blue Park, 11th Floor، الدار البيضاء 20370 pitchbook+1",https://azurinnovationfund.com,
,الشركة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني,
,Arzan Venture Capital,الكويت (مدينة الكويت),"Arzan Tower, 12th Floor, Ahmad Al-Jabber Street, Al Sharq، ص.ب 26442، صفاة 13125، الكويت arzan.com+1",https://arzanvc.com,
,KISP Ventures,الكويت (مدينة الكويت),"KIPCO Tower, 25th Floor / 33rd Floor, Baitak Tower, Ahmed Al Jaber Street، ص.ب 3946، الكويت 13001 pitchbook+2",https://www.kispventures.com,
,Faith Capital,الكويت (مدينة الكويت),"Floor 65, Al Hamra Tower, Al-Shuhada Street, Sharq، ص.ب 15459، الكويت cbinsights+2",https://www.faithcapital.com,
,Kuwait Life Sciences Company,الكويت (مدينة الكويت),"KIPCO Tower, 25th/27th Floor, Al Shuhadaa Street, Sharq، ص.ب 25363، صفاة 25363، الكويت pitchbook+2",https://www.klsc.com.kw,
,الشركة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني,
,Wa'ed Ventures,الظهران، السعودية,"Innovation Cluster Building, Dhahran Techno Valley، الظهران 31311 / 8783 Ibn Alhaitham Street، DTV، الظهران 34464",https://www.waed.com,
,SVC – Saudi Venture Capital,الرياض، السعودية,"Building No. 5.08, Al Aqiq, King Abdullah Financial District, Area 5، الرياض 11564 / King Abdullah Financial District (KAFD)، الرياض privateequityinternational+2",https://svc.com.sa,
,الشركة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني,
,Flat6Labs Tunisia,تونس، تونس,15 Av. De Carthage، تونس eina4jobs,https://flat6labs.com,
,,,,,
,Sawari Ventures,القاهرة، مصر (مقر رئيسي),"1 Dr. Mohamed Sobhy Street, Giza، الجيزة / One Drive Mohamed Sobhy, 4th Floor، القاهرة",https://www.sawari.com,
,Sanabil Investments,الرياض، السعودية,"Al Faisaliah Tower, 24th Floor, King Fahd Road، ص.ب 19078، الرياض 11435 privateequityinternational+2",https://sanabil.com,
,Jada Fund of Funds,الرياض، السعودية,"3711 King Abdullah Branch Road, King Salman District، الرياض 12445 / KAFD, 2877 Al Aqeeq District, Unit No. 4897، الرياض 13519 privateequityinternational+2",https://jada.com.sa,
,Wa'ed,الظهران، السعودية,"Innovation Cluster Building, Dhahran Techno Valley، الظهران 31311 / 8783 Ibn Alhaitham Street، DTV، الظهران 34464",https://www.waed.com,
,RZM Investment,الرياض، السعودية,"Alhassan bin Ali Street, AlRawdhah (Exit 11)، الرياض 13213",https://rzm.com.sa,
,Merak Capital,الرياض، السعودية,"2nd Floor, 6959 Prince Turki Ibn Abdulaziz Al Awwal Rd, Al Mohammadiyyah، الرياض 12364",https://merakcapital.com,
,Khwarizmi Ventures,الرياض / الدمام، السعودية,"الرياض: Al Aqiq، الرياض 13515 / الدمام: Abu Hafs bn Burd Street, Al Khaldeyah Al Janubiyah، ص.ب 9691، الدمام 31423",https://khwarizmiventures.com,
,Vision Ventures,الدمام، السعودية,"2nd Floor, Al-Dabal Commercial Tower (ACT), Prince Mohammad Street، الدمام 32425",https://visionventures.co,
,Seedra Ventures,الرياض، السعودية,"7852 King Khaled Branch Road, Al Salmaniyah، الرياض 13715 / 2398 Syed Ibn Amir, An Nakheel، الرياض 12395 pitchbook+2",https://seedraventures.com,
,,,,,
,B&Y Venture Partners,أبوظبي، الإمارات,"Office 14-118, Floor 14, WeWork Hub71, Al Khatem Tower, ADGM Square, Al Maryah Island، أبوظبي adgm+1",https://byvp.com,
,COTU Ventures,دبي، الإمارات,"One Central, Dubai / Building 12, Al Raya Street, City Walk، دبي",https://www.cotu.vc,
,الشركة,الدولة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني
,Oasis500,الأردن,عمّان، الأردن,"King Hussein Business Park, Building #7، عمّان 11183 privateequityinternational+2",https://oasis500.com
,Beyond Capital,الأردن,عمّان، الأردن,7 Kamal Junblat Street، عمّان 11191 pitchbook+2,https://beyondcapital.vc
,Ibtikar Fund,فلسطين,رام الله، فلسطين,"PRICO House, 54 Khalil Abu Raea Street, Office 302, Al Masyoun، رام الله / Ein Misbah، رام الله linkedin+1",https://ibtikar.fund
,Sadara Ventures,فلسطين,البيرة/رام الله، فلسطين,"100 Al-Kawthar Street, 3rd Floor, Al-Bireh، رام الله pitchbook+2",https://sadaraventures.com
,Arzan Venture Capital,الكويت,مدينة الكويت، الكويت,"Arzan Tower, 12th Floor, Ahmad Al-Jabber Street, Al Sharq، ص.ب 26442، صفاة 13125",https://arzanvc.com
,Impuls International,الكويت,مدينة الكويت، الكويت,"KIPCO Tower, 25th/27th Floor, Al Shuhadaa Street, Sharq، ص.ب 2294، صفاة 13023 pitchbook+2",https://impulsinternational.com
,KISP Ventures,الكويت,مدينة الكويت، الكويت,"KIPCO Tower, 25th Floor / 33rd Floor, Baitak Tower, Ahmed Al Jaber Street، ص.ب 3946، الكويت 13001",https://kispventures.com
,Rasmal Ventures,قطر,الدوحة، قطر,"Office 1505, Floor 15, Burj Al Fardan, Marina District، ص.ب 26660، الدوحة privateequityinternational+2",https://rasmalventures.com
,Doha Tech Angels,قطر,الدوحة، قطر,"Old Airport Road, Sultan Bin Al Jaber, Building 127, 2nd Floor، الدوحة / D Ring Road, Building No. 131، ص.ب 2116، الدوحة cbinsights+2",https://dohatechangels.com
,Qatar Development Bank (QDB),قطر,الدوحة، قطر,Grand Hamad Street، ص.ب 22789، الدوحة qdb+2,https://www.qdb.qa
,Qatar Science & Technology Park (QSTP),قطر,الدوحة، قطر,"Education City، ص.ب 210000، الدوحة / Al Luqta Street, Zone 51, Al Rayyan qf+2",https://qstp.org.qa
,Startup Qatar,قطر,الدوحة، قطر,الدوحة، قطر (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة) qdb,https://startupqatar.qa
,Oman Technology Fund (OTF),عُمان,مسقط، عُمان,"Knowledge Oasis Muscat (KOM), Ground Floor، مسقط 113 cbinsights+2",https://otf.om
,Phaze Ventures,عُمان,مسقط، عُمان,"Dohat Al Adab Street, Al Rudh'a, Madinat Al Sultan Qaboos، مسقط 112 / P.O. Box 1618, Ruwi، مسقط pitchbook+2",https://phazeventures.com
,Jasoor Ventures,عُمان,مسقط، عُمان,مسقط، عُمان (تابع لـ OTF – Knowledge Oasis Muscat) app.dealroom+1,https://jasoor.vc
,Oman Investment Authority – Future Fund Oman,عُمان,مسقط، عُمان,"Building No. 70, 3430 Arab League Street, Al Khuwair، مسقط 100 / Beach One Building, Level 5, Shati Al Qurum، ص.ب 188، مسقط privateequityinternational+2",https://oia.gov.om
,الشركة,الدولة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني
,Al Madina Investment,عُمان,مسقط، عُمان,"Tilal Offices, Block 6, 4th Floor, Muscat Grand Mall, Ruwi، ص.ب 171، مسقط 112 pitchbook+2",https://almadinainvestment.com
,Tenmou,البحرين,المنامة، البحرين,"The Terminal, Block 338, Adliya، المنامة",https://www.tenmou.me
,Hope Ventures,البحرين,المنامة، البحرين,"Building 2102, Road 2825, Flat 1390, Block 428, Al Seef، المنامة",https://hopefund.bh
,Bahrain Development Bank,البحرين,المنامة، البحرين,"Building 170, Road 1703, Diplomatic Area، ص.ب 20501، المنامة",https://www.bdb-bh.com
,Bahrain Economic Development Board – StartUp Bahrain,البحرين,المنامة، البحرين,"3rd Floor, Arcapita, Bahrain Bay، ص.ب 11299، المنامة bahrainedb+1",https://startupbahrain.com
,Algebra Ventures II,مصر,القاهرة، مصر,القاهرة، مصر (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة),https://algebraventures.com
,Acasia Ventures,مصر,القاهرة، مصر,"Consoleya, 5 El-Fadl, Bab Al Louq, Abdeen، القاهرة 11513",https://acasiaventures.com
,Foundation Ventures,مصر,القاهرة، مصر,"Building 10, Road 212, Maadi، القاهرة / 23a Ismail Mohamed Street, El Zamalek، القاهرة",https://foundationventures.com
,Cairo Angels Syndicate Fund,مصر,القاهرة، مصر,"28 Falaki Street, Bab El Louk, Office 204, Falaki Building، القاهرة 11513",https://cairoangels.com
,Falak Startups,مصر,القاهرة، مصر,"28 El Falaki Street, The Greek Campus, Bab El Louk، القاهرة 11513 linkedin+2",https://falakstartups.com.eg
,AUC Venture Lab,مصر,القاهرة الجديدة، مصر,"AUC Avenue, P.O. Box 74, New Cairo 11835 / Parcel 8, 74 S Teseen، القاهرة الجديدة aucegypt+2",https://business.aucegypt.edu/venture-lab
,500 Global – MENA,المنطقة (دبي/أبو ظبي),دبي، الإمارات,"Dubai Media City, Building 1, 3rd Floor, Office 312، ص.ب 502342، دبي / المقر العالمي: 400 Hamilton Ave, Palo Alto, CA 94301، USA privateequityinternational+2",https://500.co
,Antler MENA,المنطقة (دبي/الرياض),دبي، الإمارات,Dubai، الإمارات (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة) / المقر العالمي: لندن، المملكة المتحدة antler+1,https://www.antler.co
,Endeavor Catalyst,المنطقة (نيويورك/المنطقة),نيويورك، الولايات المتحدة,"28 Liberty Street, 53rd Floor, New York, NY 10005، USA fconline.foundationcenter+2",https://endeavor.org/catalyst
,Endure Capital,المنطقة / مصر,القاهرة / بالو ألتو، الولايات المتحدة,"Cairo: District5 - Marakez, Ain El Sokhna Rd, New Cairo 3، القاهرة 11865 / Palo Alto: Hamilton Ave, Palo Alto, CA 94301، USA / Dubai: Business Center 1, M Floor, The Meydan Hotel، دبي",https://endurecap.com
,الشركة,الدولة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني
,Cedar Mundi Ventures,لبنان,بيروت، لبنان,"Sodeco Square Center, Block B, 5th Floor، بيروت 1202-2062 / المقر العالمي: Hogarth House, 136 High Holborn, London, WC1V 6PX، UK cbinsights+2",https://cedarmundiventures.com
,IM Capital,لبنان,بيروت، لبنان,"Berytech Building, Suite 1294, Beirut Digital District, Bechara El Khoury Street, Bachoura، بيروت 1107 2240 cbinsights+2",https://im-capital.com
,B&Y Venture Partners – Lebanon,لبنان / المنطقة,أبوظبي، الإمارات (مقر رئيسي),"Office 14-118, Floor 14, WeWork Hub71, Al Khatem Tower, ADGM Square, Al Maryah Island، أبوظبي / لها نشاط في لبنان والمنطقة",https://byvp.com
,Phoenician Funds,لبنان,بيروت، لبنان,"Lot 157, 3rd Floor, Saad Zaghloul Street, Marfaa Section 8, Downtown Beirut، بيروت 1107 / المقر الإقليمي: Office 15-113, 15th Floor, Al Khatem Tower, ADGM Square، أبوظبي cbinsights+2",https://phoenicianfunds.com
,Flat6Labs Beirut,لبنان,بيروت، لبنان,"BDD 740, Ground Floor, Tyane Street, Beirut Digital District، بيروت deelproject+2",https://flat6labs.com
,Middle East Venture Partners – Lebanon,لبنان / المنطقة,دبي، الإمارات (مقر رئيسي),"Emirates Financial Towers, South Tower, Suite 2402, DIFC، دبي / لها نشاط في لبنان والمنطقة",https://mevp.com
,B&Y Venture Partners – Jordan,الأردن / المنطقة,أبوظبي، الإمارات (مقر رئيسي),"Office 14-118, Floor 14, WeWork Hub71, Al Khatem Tower, ADGM Square, Al Maryah Island، أبوظبي / لها نشاط في الأردن والمنطقة",https://byvp.com
,ZINC – Zain Innovation Campus,الأردن,عمّان، الأردن,King Hussein Business Park، عمّان arageek,https://zinc.jo
,ISSF – Innovative Startups and SMEs Fund,الأردن,عمّان، الأردن,"3rd Circle, Tawfiq Abu Al-Huda St, Middle East Insurance Company Building, 1st Floor، عمّان 11193 zawya+2",https://issfjo.com
,Jordan Enterprise Development Corporation – JEDCO,الأردن,عمّان، الأردن,"P.O. Box 7704، عمّان 11118 / Ekremah Al-Qurayshi St, Al Abdali، عمّان atfp+2",https://jedco.gov.jo
,Flat6Labs Amman,الأردن,عمّان، الأردن,عمّان، الأردن (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة),https://flat6labs.com
,Oasis500 Fund,الأردن,عمّان، الأردن,"King Hussein Business Park, Building #7، عمّان 11183",https://oasis500.com
,216 Capital,تونس,تونس، تونس,Centre Urbain Nord، تونس linkedin,https://216capital.com
,Capsa Capital Partners,تونس,تونس، تونس,"10 Bis Rue Mahmoud El Matri, Mutuelleville، تونس 1002 cmf+2",https://capsacapital.com
,Flat6Labs Tunis,تونس,تونس، تونس,15 Av. De Carthage، تونس,https://flat6labs.com
,Smart Capital,تونس,تونس، تونس,"Immeuble Saphir, Avenue du Dinar, Les Berges du Lac 2، تونس 1053 pitchbook+2",https://smartcapital.tn
,Startup Tunisia,تونس,تونس، تونس,"Bloc A, Immeuble Saphir, Avenue Du Dinar، تونس 1053 / Cosmos Way, Galaxy Heights، تونس dharab+1",https://startup.gov.tn
,UM6P Ventures,المغرب,بن جرير / الدار البيضاء، المغرب,"المقر الرئيسي: Lot 660, Hay Moulay Rachid, Ben Guérir 43150 / مكتب الدار البيضاء: Complexe PARANFA, 2 rue Koronfal, Anfa، الدار البيضاء um6p+2",https://um6pventures.com
,Algeria Venture,الجزائر,الجزائر، الجزائر,"Dounia Parc, Route d'Ouled Fayet, Dely Ibrahim، الجزائر 16047 cbinsights+2",https://algeriaventure.dz
,الشركة,الدولة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني
,Cedar Mundi Ventures,لبنان,بيروت، لبنان,"Sodeco Square Center, Block B, 5th Floor، بيروت 1202-2062 / المقر العالمي: Hogarth House, 136 High Holborn, London, WC1V 6PX، UK cbinsights+2",https://cedarmundiventures.com
,IM Capital,لبنان,بيروت، لبنان,"Berytech Building, Suite 1294, Beirut Digital District, Bechara El Khoury Street, Bachoura، بيروت 1107 2240 cbinsights+2",https://im-capital.com
